"BIT_DEPTH","RATE_OF_PENETRATION","HOOK_LOAD","DIFFERENTIAL_PRESSURE","WEIGHT_ON_BIT","DRILL_BIT_ID","DRILL_BIT_NAME"
199.58,798.9,66.9,244,-0.3,1,"AstroBit"
201.22,809.2,65.7,152,0.1,1,"AstroBit"
201.72,816,67.4,140,-1.2,1,"AstroBit"
203.47,840.1,66.8,185,-0.4,1,"AstroBit"
206.22,878.1,67.9,161,-2.1,1,"AstroBit"
207.97,898.7,65.2,198,0.3,1,"AstroBit"
210.72,898.8,66.5,186,-0.4,1,"AstroBit"
212.46,898.4,64.2,170,0.7,1,"AstroBit"
213.02,908.6,59.2,214,4.4,1,"AstroBit"
214.96,929.1,62.9,222,2.3,1,"AstroBit"
215.57,942.9,61.7,225,3.6,1,"AstroBit"
218.07,973.7,62.3,273,3.3,1,"AstroBit"
220.57,1004.9,62.7,249,3.7,1,"AstroBit"
222.51,1005.1,63.5,261,2.7,1,"AstroBit"
223.07,1005.1,63.8,228,2.1,1,"AstroBit"
225.01,998.3,63.7,228,2,1,"AstroBit"
225.57,998.4,63.5,236,2.5,1,"AstroBit"
228.06,998.3,63.2,239,2.8,1,"AstroBit"
230.56,998.3,62.2,257,3.9,1,"AstroBit"
233.06,998.5,61.9,257,3.8,1,"AstroBit"
235,998.2,61.9,329,4.6,1,"AstroBit"
235.62,1012.8,59.4,303,5.2,1,"AstroBit"
241.28,1123.2,58.3,316,7.9,1,"AstroBit"
244.27,1183.5,58.5,347,7.4,1,"AstroBit"
262.19,400.3,61.9,562,7.1,1,"AstroBit"
264.17,397.1,61.7,509,6.4,1,"AstroBit"
267.15,397.8,64.6,375,1.2,1,"AstroBit"
268.15,397.9,63,419,2.9,1,"AstroBit"
269.15,399.1,65.3,319,2,1,"AstroBit"
270.15,399,61.5,329,4.9,1,"AstroBit"
271.15,399,62.1,344,3.9,1,"AstroBit"
272.04,0,61.3,7,1.6,1,"AstroBit"
273.04,399,72.9,60,3.3,1,"AstroBit"
276.03,398.9,74.8,152,1.8,1,"AstroBit"
277.03,398.7,72.5,195,4.4,1,"AstroBit"
278.03,398.6,71.5,185,4.4,1,"AstroBit"
279.03,398.6,74.2,207,2.8,1,"AstroBit"
280.02,398.7,72,137,4.9,1,"AstroBit"
281.02,398.8,71.7,149,4.7,1,"AstroBit"
282.02,398.8,72.7,168,4,1,"AstroBit"
283.02,399.2,71.1,173,5.9,1,"AstroBit"
