"BIT_DEPTH","RATE_OF_PENETRATION","HOOK_LOAD","DIFFERENTIAL_PRESSURE","WEIGHT_ON_BIT","DRILL_BIT_ID","DRILL_BIT_NAME"
2.73,968.5,64.5,87,-56.8,1,"AstroBit"
4.13,1311.7,64.6,95,-56.9,1,"AstroBit"
84.98,339.3,65.3,347,-57.6,1,"AstroBit"
85.06,192.4,65.3,341,-57.8,1,"AstroBit"
86.53,139.2,65.5,340,-58.1,1,"AstroBit"
87.03,136.2,66,341,-58.2,1,"AstroBit"
88.6,708.7,66,334,-58.2,1,"AstroBit"
89.22,741.5,65.5,339,-58.4,1,"AstroBit"
90.59,699,66,342,-58.4,1,"AstroBit"
91.19,733.3,65.8,343,-58.4,1,"AstroBit"
92.56,676.4,65.6,334,-58.5,1,"AstroBit"
95,697.2,65.5,337,-58.6,1,"AstroBit"
96.51,691,66.5,339,-59,1,"AstroBit"
97.11,678.6,65.8,333,-59,1,"AstroBit"
98.06,690.5,65.9,325,-59,1,"AstroBit"
98.85,684.7,65.4,335,-58.8,1,"AstroBit"
100.64,698.7,65.5,339,-58.8,1,"AstroBit"
101.2,671.3,65.4,323,-7.7,1,"AstroBit"
102.6,527.1,65.6,-4,-0.5,1,"AstroBit"
103.11,228.3,65,-7,-0.3,1,"AstroBit"
104.53,431.2,64.8,-9,-0.2,1,"AstroBit"
105.03,605.6,65.1,6,-0.3,1,"AstroBit"
105.79,761.2,65.7,9,-0.2,1,"AstroBit"
107.07,1181.1,65,11,-0.2,1,"AstroBit"
108.5,829.6,64.4,11,-0.1,1,"AstroBit"
109.01,877,64.6,8,-0.1,1,"AstroBit"
110.6,741.8,64.7,13,-0.1,1,"AstroBit"
111.26,542,64.4,9,0,1,"AstroBit"
0,244.3,65.2,2,0.1,1,"AstroBit"
141,246.1,65,-2,0,1,"AstroBit"
142.66,264,64.7,9,-0.8,1,"AstroBit"
143.06,283.6,64.5,4,-0.5,1,"AstroBit"
144.52,357.4,64.7,13,-1,1,"AstroBit"
145.12,345.9,63.8,15,-1,1,"AstroBit"
146.66,372.4,64.1,14,-1.2,1,"AstroBit"
147.18,355.9,63.8,10,-1.2,1,"AstroBit"
148.77,285.9,63.8,15,-1,1,"AstroBit"
149.18,750,63.7,20,-1.1,1,"AstroBit"
150.51,132.7,62.2,30,-0.7,1,"AstroBit"
151.08,222.1,63.6,50,2.4,1,"AstroBit"
152.67,353.4,61.8,86,3.9,1,"AstroBit"
153.05,353.5,59.3,144,2.5,1,"AstroBit"
154.57,361.3,58.8,245,6.2,1,"AstroBit"
155.09,420.1,58,277,6.2,1,"AstroBit"
156.51,462.3,58.7,175,3.6,1,"AstroBit"
157.04,481.1,59.6,120,3,1,"AstroBit"
160.63,583.5,56.3,249,8.1,1,"AstroBit"
164.5,442.7,56.6,322,9.1,1,"AstroBit"
166.73,529.7,49.8,424,23.6,1,"AstroBit"
171.03,452.2,52.9,169,21.2,1,"AstroBit"
174.62,347.1,67.2,161,-3.3,1,"AstroBit"
175.03,315.1,52.2,522,7.8,1,"AstroBit"
176.57,439.8,62.2,277,3.9,1,"AstroBit"
177.01,526.7,60.7,310,6.2,1,"AstroBit"
178.53,595.3,58.6,357,6.2,1,"AstroBit"
179.11,526.4,57.4,401,14,1,"AstroBit"
180.53,582.5,58.7,402,18.1,1,"AstroBit"
181.14,524.7,63.7,425,-2.2,1,"AstroBit"
182.63,628.9,60.5,355,6.1,1,"AstroBit"
