BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME
745.01,270.94,89.67,52.5,10.96,1,Buzz Drilldrin
746.53,289.74,107.61,114.19,3.01,1,Buzz Drilldrin
747.02,289.74,104.44,98.99,5.04,1,Buzz Drilldrin
748.54,284.22,106.09,121.55,3.69,1,Buzz Drilldrin
749.02,298.22,105.44,93.13,3.28,1,Buzz Drilldrin
750.53,285.67,106.78,106.12,2.48,1,Buzz Drilldrin
751.06,279.23,106.71,79.71,1.73,1,Buzz Drilldrin
752.61,291.81,105.52,87.65,3.6,1,Buzz Drilldrin
753.06,323.96,105.59,96.37,3.6,1,Buzz Drilldrin
754.53,321.17,105.44,127.88,3.68,1,Buzz Drilldrin
755.02,291.89,105.73,120.01,3.41,1,Buzz Drilldrin
756.53,312.63,103.93,137.23,4.73,1,Buzz Drilldrin
757.02,277.17,104.69,165.58,4.74,1,Buzz Drilldrin
758.52,285.11,105.52,133.34,3.67,1,Buzz Drilldrin
759.09,278.36,104.94,102.41,4.21,1,Buzz Drilldrin
760.55,288.37,103.07,152.58,6.28,1,Buzz Drilldrin
761.04,314.58,101.84,150.2,6.59,1,Buzz Drilldrin
762.54,311.54,105.08,144.37,5.89,1,Buzz Drilldrin
763.03,280.69,106.2,144.95,4.13,1,Buzz Drilldrin
764.57,289.05,102.53,173.83,6.17,1,Buzz Drilldrin
765.09,291.41,104.69,159.05,3.64,1,Buzz Drilldrin
766.51,309.68,104.26,142.77,6.05,1,Buzz Drilldrin
767.08,280.65,103.9,132.05,4.55,1,Buzz Drilldrin
768.53,300.68,104.44,175.01,6.8,1,Buzz Drilldrin
769.01,293.39,98.46,195.33,9.12,1,Buzz Drilldrin
770.51,287.68,104.33,104.07,4.37,1,Buzz Drilldrin
771.08,288.56,104.87,108.97,4.99,1,Buzz Drilldrin
772.53,254.59,102.13,139.14,6.44,1,Buzz Drilldrin
773.06,303.98,100.8,176.97,6.47,1,Buzz Drilldrin
774.55,272.63,103.82,163.78,5.42,1,Buzz Drilldrin
775.03,314.52,100.83,181.01,7.78,1,Buzz Drilldrin
776.56,269.28,103.93,127.9,5.2,1,Buzz Drilldrin
777.04,320.9,103.93,115.3,4.97,1,Buzz Drilldrin
778.57,253.75,101.05,157.22,7.71,1,Buzz Drilldrin
779,253.75,104.33,147.69,5.63,1,Buzz Drilldrin
780.56,295.98,101.55,139.81,7.25,1,Buzz Drilldrin
781,295.98,103.25,98.91,6.02,1,Buzz Drilldrin
782.52,289.83,104.65,127.57,4.93,1,Buzz Drilldrin
783.03,283.34,104,133.36,5.28,1,Buzz Drilldrin
784.55,310.75,104.65,112.47,5.14,1,Buzz Drilldrin
785.04,278.13,105.19,98.73,4.39,1,Buzz Drilldrin
786.51,283.75,96.29,200.86,13.08,1,Buzz Drilldrin
787.03,198.39,97.74,253.46,13.46,1,Buzz Drilldrin
788.5,289.24,104,113.61,6.66,1,Buzz Drilldrin
789.05,252.8,101.95,245.97,7.77,1,Buzz Drilldrin
790.55,273.72,100.98,205.75,9.7,1,Buzz Drilldrin
791.03,289.54,100.65,178.75,9.14,1,Buzz Drilldrin
792.56,251.54,101.7,138.28,7.61,1,Buzz Drilldrin
793.02,296.36,104.47,70.92,4.71,1,Buzz Drilldrin
794.56,335.36,102.63,107.05,6.96,1,Buzz Drilldrin
795.08,357.16,102.53,94.92,6.68,1,Buzz Drilldrin
796.58,308.46,102.35,100.92,6.95,1,Buzz Drilldrin
797.1,360.9,103.03,116.29,6.94,1,Buzz Drilldrin
798.59,319.31,99,86.78,8.11,1,Buzz Drilldrin
799.06,345.03,102.81,107.29,6.32,1,Buzz Drilldrin
800.59,348.67,101.73,87.51,6.19,1,Buzz Drilldrin
801.01,304.34,103.5,84.74,7.27,1,Buzz Drilldrin
802.55,309.96,102.42,78.79,6.49,1,Buzz Drilldrin
803.02,353.94,102.92,118.23,5.99,1,Buzz Drilldrin
804.51,343.76,101.99,91.09,6.93,1,Buzz Drilldrin
805.07,336.12,102.38,92.6,6.95,1,Buzz Drilldrin
806.55,326.01,101.95,84.97,7.41,1,Buzz Drilldrin
807.01,371.52,100.33,123.22,7.87,1,Buzz Drilldrin
808.59,360.38,99.82,115.74,9.37,1,Buzz Drilldrin
809.06,321.48,99.68,128.67,9.57,1,Buzz Drilldrin
810.53,310.93,100.8,174.88,9.29,1,Buzz Drilldrin
811,241.19,100.44,127.06,9.01,1,Buzz Drilldrin
812.52,360.57,100.8,164.72,10.71,1,Buzz Drilldrin
813.08,317.97,100.76,99.59,8.13,1,Buzz Drilldrin
814.51,123.6,101.41,83.75,7.87,1,Buzz Drilldrin
815.2,295.08,98.38,167.72,10.7,1,Buzz Drilldrin
816.53,313.95,102.31,75.67,6.82,1,Buzz Drilldrin
817.08,347.54,101.48,108.04,7.84,1,Buzz Drilldrin
818.54,354.79,102.96,74.98,6.25,1,Buzz Drilldrin
819.05,315.64,101.52,81.53,6.97,1,Buzz Drilldrin
820.51,339.64,100,134.03,8.94,1,Buzz Drilldrin
821.02,360.45,97.09,156.68,11.63,1,Buzz Drilldrin
822.57,298.62,100.29,138.34,8,1,Buzz Drilldrin
823.03,382.8,97.56,188.12,11.12,1,Buzz Drilldrin
824.55,168.03,101.41,110.63,7.7,1,Buzz Drilldrin
825.06,338.46,102.35,76.5,7.27,1,Buzz Drilldrin
826.56,306.13,102.24,192.92,9.56,1,Buzz Drilldrin
