BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME
730.65,944.4,104,46,1.57,1,Apollo
731.09,341.3,89.1,356,15.78,1,Apollo
732.72,515.5,66.6,741,36.31,1,Apollo
733.13,479.6,60,873,36.18,1,Apollo
734.1,409.4,55.8,780,52.58,1,Apollo
736.58,420.8,59.4,927,40.55,1,Apollo
737.57,397.8,60.1,822,41.42,1,Apollo
739.06,276.8,61.2,722,42.17,1,Apollo
740.68,449.8,66,815,42.79,1,Apollo
743.39,411.9,67.8,901,43.22,1,Apollo
744.54,485,66.6,892,30.29,1,Apollo
746.25,424.8,58,799,50.18,1,Apollo
748.55,465.1,73.5,896,33.87,1,Apollo
749.14,529.9,51.9,808,45.83,1,Apollo
749.68,559.4,53.4,771,34,1,Apollo
752.51,437.9,56.4,866,38.43,1,Apollo
753.18,464.3,55.9,923,50.13,1,Apollo
754.18,479.1,64.8,798,33.57,1,Apollo
756.72,449.6,64.3,796,30.13,1,Apollo
757.07,433.8,67,953,42.71,1,Apollo
758.51,505,56.6,812,47.58,1,Apollo
762.6,491.3,47.6,861,49.83,1,Apollo
763.12,398.7,60.1,812,37.19,1,Apollo
764.61,372.9,58.8,913,46.98,1,Apollo
767.02,406.8,56.7,906,40.08,1,Apollo
771.19,469,65.5,926,44.94,1,Apollo
772.58,401.8,56.2,951,45.38,1,Apollo
773.12,440.4,55.2,804,55.13,1,Apollo
776.66,430.2,55,910,42.11,1,Apollo
779.1,338.7,59,866,37.58,1,Apollo
780.1,475.6,55.6,906,44.39,1,Apollo
783.22,552.1,47.8,941,49.78,1,Apollo
784.34,506.1,55.7,890,51.24,1,Apollo
786.56,578.4,56.1,814,47.83,1,Apollo
787.06,628.1,53,920,46.99,1,Apollo
792.68,608.4,56.2,863,41.82,1,Apollo
799.22,582.8,65.8,953,35.01,1,Apollo
800.59,601.4,52.5,914,48.78,1,Apollo
804.18,508.4,70.9,916,50.38,1,Apollo
805.03,586.4,58.5,860,44.14,1,Apollo
806.55,592,55.6,904,44.72,1,Apollo
807.05,541.1,49.4,873,49.98,1,Apollo
810.03,619.3,49.5,955,46.76,1,Apollo
812.3,650.2,62.6,819,42.47,1,Apollo
814.5,682.5,61.5,688,34.96,1,Apollo
815.44,686.5,56.6,735,36.98,1,Apollo
816.76,643.9,60.4,595,35.2,1,Apollo
818.98,683.3,61.3,725,31.13,1,Apollo
822.65,77.4,61.5,414,12.56,1,Apollo
824.01,344,84.1,310,11.94,1,Apollo
