BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME
113.08,356.6,60.7,717,0.84,1,AstroBit
115.12,573.9,60.7,717,0.9,1,AstroBit
116.63,668.7,60.6,720,0.48,1,AstroBit
118.65,644.5,60.7,698,0.26,1,AstroBit
119.31,657.9,60.9,719,0.63,1,AstroBit
121.12,694.2,60.7,727,0.31,1,AstroBit
122.81,947.9,60.2,701,0.56,1,AstroBit
123.14,1368.2,59.7,80,-0.49,1,AstroBit
125.39,1021.4,60.9,700,0.08,1,AstroBit
127.24,1083.7,60.5,699,-0.06,1,AstroBit
128.68,1079.6,60.7,720,0.2,1,AstroBit
130.9,949.7,60.3,712,-0.01,1,AstroBit
131.46,1026.7,60.1,709,0.07,1,AstroBit
133.05,521.3,60,736,-0.01,1,AstroBit
139,479,60.2,728,-0.47,1,AstroBit
140.64,300.4,60.6,735,-0.66,1,AstroBit
142.56,273.2,59.9,749,-0.95,1,AstroBit
143.09,255.6,59.9,758,-0.6,1,AstroBit
117.41,0,59.2,98,0.53,1,AstroBit
146.65,298.1,61.1,32,-1.14,1,AstroBit
148.57,298.8,60.1,38,-0.82,1,AstroBit
149.06,300.8,60.5,41,-1.17,1,AstroBit
165.01,148.7,59.9,19,-1.92,1,AstroBit
188.7,366.3,43.7,348,14.47,1,AstroBit
205.29,352.8,52,367,10.52,1,AstroBit
206.54,390.9,48.4,348,13.77,1,AstroBit
207.22,418.1,54.3,297,8.1,1,AstroBit
216.72,445.7,50.2,313,13.95,1,AstroBit
217.08,462.5,48.5,297,15.87,1,AstroBit
218.67,391.2,47.5,254,8.9,1,AstroBit
221.06,380.9,54.6,381,8.75,1,AstroBit
232.61,377.4,52,267,9.31,1,AstroBit
233.01,380.4,52.5,229,6.45,1,AstroBit
292.1,2806.7,50.1,-939,7.62,1,AstroBit
293.02,140.2,64.3,206,0.56,1,AstroBit
295.01,140.4,64.7,175,0.03,1,AstroBit
296.51,157.4,60,225,4.45,1,AstroBit
297.13,2806.7,49.4,-939,7.84,1,AstroBit
298.54,2806.7,49.5,-939,7.85,1,AstroBit
299.02,169.8,61.7,260,2.75,1,AstroBit
300.54,178,60.9,256,4.06,1,AstroBit
301.02,2806.7,49,-939,8.17,1,AstroBit
302.5,197.3,60.9,295,4.69,1,AstroBit
303.06,200.4,63.6,141,0.63,1,AstroBit
304.51,87.1,67.4,59,-3.14,1,AstroBit
305.06,61.3,64.8,133,-0.65,1,AstroBit
306.56,150.3,63.3,154,0.61,1,AstroBit
307.06,2806.7,49.4,-939,7.79,1,AstroBit
309.51,2806.7,49.4,-940,7.27,1,AstroBit
351.12,370.9,58.4,329,12.45,1,AstroBit
1313.82,0,98.1,195,-1.25,1,AstroBit
1352.52,573.3,53.2,938,16.46,1,AstroBit
1353.03,584.5,52.9,1059,16.74,1,AstroBit
1354.8,552.9,54.4,1004,15.58,1,AstroBit
1355.26,561.6,55.2,979,18.1,1,AstroBit
1356.74,529.9,54.8,1027,15.68,1,AstroBit
1357.22,509.3,54.9,1059,14.35,1,AstroBit
1358.65,548.6,58.3,938,10.08,1,AstroBit
1359.1,550.7,58.3,1025,11.57,1,AstroBit
1360.86,564,57.6,902,9.67,1,AstroBit
1361.05,590.3,55.5,904,12.93,1,AstroBit
1362.66,561,53.9,974,14.27,1,AstroBit
1363.29,1871.9,51.9,-1613,44.4,1,AstroBit
1363.77,2047.2,51.9,-1613,44.36,1,AstroBit
1365.24,2163.2,52.3,-1613,44.27,1,AstroBit
1366.68,2346.6,52,-1613,44.23,1,AstroBit
1367.09,305.1,67.6,344,26.6,1,AstroBit
1368.66,2665.1,51.9,-1613,43.96,1,AstroBit
1369.12,318,63.5,385,30.17,1,AstroBit
1370.17,2472.9,52.2,-1612,43.72,1,AstroBit
1370.91,2426,52.1,-1612,43.53,1,AstroBit
1372.18,2399.3,52.1,-1613,43.48,1,AstroBit
1372.95,2580.7,52,-1612,43.57,1,AstroBit
1373.67,2831.9,52.2,-1612,43.62,1,AstroBit
1377.2,2351.9,52.1,-1613,43.16,1,AstroBit
1377.13,344.2,55.6,471,38.15,1,AstroBit
1377.83,2554.2,52.2,-1613,43.09,1,AstroBit
1389.03,119.8,97.3,202,0.55,1,AstroBit
1389.59,2293.6,52.1,-1613,42.28,1,AstroBit
1391.55,2435,52.3,-1612,42.05,1,AstroBit
1392.77,2193.3,52.2,-1612,42.12,1,AstroBit
1394.91,2679,52,-1612,42.05,1,AstroBit
1395,443.9,54.1,512,43.47,1,AstroBit
1396.3,2730.4,52.2,-1612,41.99,1,AstroBit
1397.11,454.4,55.9,506,41.81,1,AstroBit
1437.07,298,48.7,617,46.07,1,AstroBit
1438.5,510.6,79.6,266,14.74,1,AstroBit
1438.97,1059,54.4,-1612,38.11,1,AstroBit
1439.98,1059,54.3,-1613,37.94,1,AstroBit
1440.94,2568.6,53.9,-1612,38.19,1,AstroBit
1443.17,484.6,56.8,503,39.53,1,AstroBit
1445.03,497.8,64.8,529,32.12,1,AstroBit
1446.66,509.9,71.3,420,23.91,1,AstroBit
1447.22,511,70.3,400,23.79,1,AstroBit
1448.7,586.6,74.1,424,19.79,1,AstroBit
1449.05,625.6,70.6,497,22.66,1,AstroBit
1450.7,621,52,689,41.51,1,AstroBit
1457.18,565.9,56.8,605,38.97,1,AstroBit
1468.68,652,55.3,576,36.78,1,AstroBit
1484.51,96.7,87.3,128,10.28,1,AstroBit
1485,65.9,85.7,133,12,1,AstroBit
1486.51,89.2,82,180,15.76,1,AstroBit
1487.03,96.6,84.3,203,13.86,1,AstroBit
1488.53,107.3,79.2,222,18.24,1,AstroBit
1489.01,108.6,78.7,246,18.67,1,AstroBit
1490.5,106.3,76.3,276,20.94,1,AstroBit
1491.01,106.3,74.7,237,22.8,1,AstroBit
1492.51,108.3,74.8,241,22.32,1,AstroBit
1493.05,108.3,74.7,248,22.95,1,AstroBit
1494.54,105.5,72.4,221,24.63,1,AstroBit
1495.02,105.8,71.7,237,25.21,1,AstroBit
1496.56,113.6,69.9,286,28.03,1,AstroBit
1497,114.1,72.2,266,24.67,1,AstroBit
1498.57,121.8,70.8,332,25.6,1,AstroBit
1499.05,125,73.9,349,23.35,1,AstroBit
1500.55,129.8,81.3,254,15.91,1,AstroBit
1501.05,134.2,76.3,251,20.42,1,AstroBit
1502.55,143.5,86.9,156,9.55,1,AstroBit
1503.02,148.5,77.9,271,18.62,1,AstroBit
1504.57,129.4,83.5,214,12.96,1,AstroBit
1505.05,125,80.4,284,16.52,1,AstroBit
1506.55,149.3,74.7,369,22.17,1,AstroBit
1507,150.3,79.1,237,16.98,1,AstroBit
1508.53,155.2,75.9,278,20.24,1,AstroBit
1509.01,158,73.6,358,22.63,1,AstroBit
1510.51,158.4,74.2,359,21.99,1,AstroBit
1511.01,160.8,75.5,335,20.63,1,AstroBit
1512.65,461.9,53.5,629,39.67,1,AstroBit
1515.06,425.7,49.5,644,48.99,1,AstroBit
1530.53,625.7,64.7,578,34.01,1,AstroBit
1531.13,686.6,60.3,459,34.76,1,AstroBit
1532.62,678.2,74.5,377,21.72,1,AstroBit
1533.17,702.3,74,580,20.79,1,AstroBit
1534.85,645.1,57.3,675,36.99,1,AstroBit
1542.29,650.3,60.4,581,39.4,1,AstroBit
1547.01,588.2,59.7,742,32.86,1,AstroBit
1554.53,631.1,65.8,618,30.61,1,AstroBit
1574.5,550.2,64.5,720,27.42,1,AstroBit
1579.35,780,49.3,920,43.83,1,AstroBit
1580.79,461.9,79.9,487,19.78,1,AstroBit
1581.13,425.4,72.3,572,24.94,1,AstroBit
1582.76,639.8,60.7,736,34.6,1,AstroBit
1583.12,648.4,57.6,760,41.66,1,AstroBit
1586.57,600,55.6,761,42.29,1,AstroBit
1592.69,546.6,67,593,30.45,1,AstroBit
1593.07,653.8,64.7,580,33.01,1,AstroBit
1594.86,646.5,56.8,645,40.56,1,AstroBit
1596.81,534,55.3,758,42.9,1,AstroBit
1597.09,579.3,57.1,750,39.92,1,AstroBit
1598.5,60,94.1,107,2.41,1,AstroBit
1599.01,46.6,93.1,131,3.66,1,AstroBit
1600.53,68.8,93.3,117,2.99,1,AstroBit
1601.03,70.1,93.4,128,3.09,1,AstroBit
1602.5,84.1,92.3,178,3.93,1,AstroBit
1603,91.7,92.4,178,3.89,1,AstroBit
1604.55,99.6,93.6,107,2.63,1,AstroBit
1605.01,103.4,89.5,162,6.56,1,AstroBit
1606.52,121.2,92.6,174,3.93,1,AstroBit
1607.02,119.7,93.4,156,2.75,1,AstroBit
1608.51,130.4,90.2,170,5.89,1,AstroBit
1609.01,130.4,87.5,171,8.24,1,AstroBit
1610.55,139.2,87,263,8.47,1,AstroBit
1611.06,140.3,85.4,289,10.53,1,AstroBit
1612.55,139,84.8,253,11.04,1,AstroBit
1613.04,141.1,84.3,327,11.63,1,AstroBit
1614.53,139.7,83.7,267,11.71,1,AstroBit
1615.01,142.1,84.3,314,11.27,1,AstroBit
1616.52,139.6,83.8,323,11.69,1,AstroBit
1617.03,140.5,84.2,257,11.09,1,AstroBit
1618.89,119.8,79.6,398,24.14,1,AstroBit
1619.09,134.1,71.2,533,27.61,1,AstroBit
1659.09,521.9,40.6,1044,53.68,1,AstroBit
1660.78,726.1,50.7,846,41.71,1,AstroBit
1661.01,715.7,50.5,895,43.54,1,AstroBit
1662.62,684.2,55.9,846,39.93,1,AstroBit
1675.01,620.7,56.6,979,47.05,1,AstroBit
1676.7,480.5,60.9,428,32.3,1,AstroBit
1678.76,539.6,62.9,550,38.89,1,AstroBit
1679,623,62.9,525,37.63,1,AstroBit
1681.09,583.4,56.4,732,44.05,1,AstroBit
1682.58,679.2,54.3,706,45.96,1,AstroBit
1688.6,604.6,47.4,573,52.2,1,AstroBit
1689.04,463.7,52.2,700,48.9,1,AstroBit
1690.69,598,63.7,594,37.55,1,AstroBit
1691.36,589.8,64.6,581,35.52,1,AstroBit
1692.62,805.8,60.1,623,40.54,1,AstroBit
1693.04,758.9,54.5,647,42.76,1,AstroBit
1694.5,642.7,56.7,701,43.25,1,AstroBit
1711.15,653.6,56,489,42.7,1,AstroBit
1722.77,676.6,60.3,455,39.08,1,AstroBit
1727.2,652.9,61.3,628,36.53,1,AstroBit
1728.82,1036.8,54.4,417,37.44,1,AstroBit
1732.89,812.9,63.9,688,36.92,1,AstroBit
1734.85,849.7,65.1,703,32.84,1,AstroBit
1735.1,821.6,63.2,707,34.17,1,AstroBit
1740.72,805,65.2,474,32.16,1,AstroBit
1755.01,835.8,65,479,33.41,1,AstroBit
1758.27,777.8,58.3,753,40.03,1,AstroBit
1771.09,543.4,101.9,-118,0.57,1,AstroBit
1772.63,617.8,68.2,391,33.24,1,AstroBit
1773.21,638.1,63.9,495,37.09,1,AstroBit
1774.66,638.3,85.3,275,15.37,1,AstroBit
1775.02,647.7,79.4,238,17.75,1,AstroBit
1776.7,809,55.1,556,45.64,1,AstroBit
1777.12,738,60.2,538,41.72,1,AstroBit
1783.4,663.2,56.4,586,46.49,1,AstroBit
1784.67,726.6,55.1,609,45.36,1,AstroBit
1791.01,740.2,53.5,725,46.5,1,AstroBit
1792.81,839.8,61.1,565,43.35,1,AstroBit
1793.24,804.5,66.3,574,32.53,1,AstroBit
1794.62,792.9,55.2,740,43.17,1,AstroBit
1809,793.7,51.3,611,46.67,1,AstroBit
1811,763.1,56.6,837,41.72,1,AstroBit
1814.54,852.7,50.8,649,45.4,1,AstroBit
1817.08,738.8,53,756,48.67,1,AstroBit
1819.22,754.3,55.2,699,42.15,1,AstroBit
1833.16,618.6,52.5,804,50.05,1,AstroBit
1834.57,887.5,65.9,395,29.36,1,AstroBit
1835.02,917.5,62.4,551,37.85,1,AstroBit
1844.5,711.4,56.9,694,40.32,1,AstroBit
1847.13,780,57.3,633,43.58,1,AstroBit
1862.69,844,59.8,416,34.93,1,AstroBit
1866.97,417,95.6,-77,15.51,1,AstroBit
1867.08,385.5,91.9,174,8.58,1,AstroBit
1868.62,859.4,61.6,472,39.41,1,AstroBit
1869.36,814,58.4,507,41.49,1,AstroBit
1870.96,708.6,57.8,553,43.75,1,AstroBit
1877.14,443.3,60.4,553,41.62,1,AstroBit
1878.62,679.1,56.1,556,44.99,1,AstroBit
1879.01,709.7,55.7,555,46.47,1,AstroBit
1880.82,742.5,55.2,584,44.46,1,AstroBit
1885.03,805.6,60.9,583,44.46,1,AstroBit
1887.05,837.6,54.7,657,43.86,1,AstroBit
1891.27,828.3,56.5,689,45.44,1,AstroBit
1930.63,602.5,69.3,541,20.63,1,AstroBit
1931.12,768.1,57.6,520,40.72,1,AstroBit
1942.97,842,55.7,734,39.65,1,AstroBit
1959.11,792.4,58.2,717,36.26,1,AstroBit
1960.89,882.1,58.4,498,34.2,1,AstroBit
1962.51,566.8,93.3,54,9.53,1,AstroBit
1963.02,680.3,76.6,425,24.95,1,AstroBit
1964.55,601.7,71.3,482,28.11,1,AstroBit
1965.06,593.8,70,531,31.9,1,AstroBit
1966.66,672.7,96.7,53,4.39,1,AstroBit
1968.26,795.2,86.1,211,7.47,1,AstroBit
1970.47,868.7,61.9,538,36.59,1,AstroBit
1973.09,734.7,50.3,677,50.79,1,AstroBit
1974.73,904.5,57.8,560,39.92,1,AstroBit
1975.24,823.6,57.5,612,42.77,1,AstroBit
1977.01,715.8,56.6,706,46.48,1,AstroBit
1995.23,684.7,68.9,784,48.16,1,AstroBit
1996.82,856.4,47.1,822,46.81,1,AstroBit
2019,524.9,60.4,1170,39.7,1,AstroBit
2058.6,375.3,70.1,222,33.05,1,AstroBit
2059.05,730.8,55.2,725,46.71,1,AstroBit
2064.59,428.6,65,824,35.62,1,AstroBit
2065.05,490.6,63.1,535,37.65,1,AstroBit
2068.76,349.5,62.8,655,40.74,1,AstroBit
2069.2,396.4,64.7,579,37.3,1,AstroBit
2077.22,664.1,63.1,713,47.08,1,AstroBit
2078.52,782.4,63.6,578,35.68,1,AstroBit
2079.12,735.7,60.6,598,39.01,1,AstroBit
2081,752.9,55.5,737,43.4,1,AstroBit
2082.69,762,56.8,688,44.48,1,AstroBit
2083.19,812.7,60.1,701,39.28,1,AstroBit
2084.65,851.5,51.4,645,46.21,1,AstroBit
2086.5,772.1,56.3,668,43.55,1,AstroBit
2107.11,725.5,52.8,773,49.13,1,AstroBit
2108.71,720.2,67.6,509,29.52,1,AstroBit
2109.47,791.6,64.4,603,32.31,1,AstroBit
2110.6,789.2,68.8,570,28.23,1,AstroBit
2111.21,806.2,64.7,622,31.39,1,AstroBit
2131.23,784.9,55.3,687,46.17,1,AstroBit
2132.69,886.2,49.5,709,47.08,1,AstroBit
2153.23,761.6,44.6,862,50.53,1,AstroBit
2154.83,583.3,82.5,398,19.16,1,AstroBit
2155.03,584.8,75.4,449,24.97,1,AstroBit
