"BIT_DEPTH","RATE_OF_PENETRATION","HOOK_LOAD","DIFFERENTIAL_PRESSURE","WEIGHT_ON_BIT","DRILL_BIT_ID","DRILL_BIT_NAME"
97.77,3228.6,60.4,-1743,33.53,1,"Apollo"
98.98,1818.2,69.2,-1194,30.69,1,"Apollo"
100.3,1818.2,67.5,-1187,31.7,1,"Apollo"
101.02,186.1,68.7,-4,-1.45,1,"Apollo"
102.51,544.3,66.8,99,-1.6,1,"Apollo"
103.05,577.1,66.4,18,-1.66,1,"Apollo"
104.59,632.6,66.6,10,-1.86,1,"Apollo"
105.14,611.9,66.9,14,-1.45,1,"Apollo"
106.8,584.1,66.6,5,-0.61,1,"Apollo"
107.05,613.1,67.5,25,-1.3,1,"Apollo"
108.14,778.8,66.7,32,-1.34,1,"Apollo"
108.87,991.8,65.4,17,-0.55,1,"Apollo"
110.15,963.3,65.2,5,-1.03,1,"Apollo"
111.01,1043.2,66.3,30,-1.06,1,"Apollo"
112.99,976.3,67.5,14,-1.03,1,"Apollo"
113.25,923.1,64.5,67,-1.99,1,"Apollo"
114.5,960.5,65.2,-3,-0.43,1,"Apollo"
115.15,1054.1,65,28,-0.06,1,"Apollo"
117.03,925.6,65.5,43,-0.38,1,"Apollo"
117.3,932.6,65.5,10,0.31,1,"Apollo"
118.36,977.5,66.9,6,-0.65,1,"Apollo"
119.18,951.1,65.6,19,0.03,1,"Apollo"
120.25,977.4,65.7,8,-1.49,1,"Apollo"
121.02,989.8,65.9,14,-1.06,1,"Apollo"
122.67,952.1,64.4,44,-1.68,1,"Apollo"
123.21,924.9,64.8,6,-0.87,1,"Apollo"
124.54,985.3,65.7,140,-0.45,1,"Apollo"
125.1,979.5,63.9,10,-1.01,1,"Apollo"
126.72,894.2,64.8,22,-1.74,1,"Apollo"
127.23,952.8,65,20,-1.21,1,"Apollo"
128.59,1005.7,65.5,-15,-1.59,1,"Apollo"
129.2,1036.5,65.2,70,-0.85,1,"Apollo"
130.28,989.6,64.7,98,-1.47,1,"Apollo"
131.45,1089.4,65.1,111,-0.92,1,"Apollo"
132.65,1082.2,67.7,41,-1.5,1,"Apollo"
134.1,1010,65.4,13,-1.73,1,"Apollo"
135,1118.7,64.8,16,-0.86,1,"Apollo"
136.55,1039.7,64.4,-7,-1.86,1,"Apollo"
137.21,1100,65.6,34,-2.39,1,"Apollo"
138.59,1244.1,64.1,132,-1.51,1,"Apollo"
139.2,1099.8,64.3,11,-1.85,1,"Apollo"
140.1,1088.7,64.6,31,-0.96,1,"Apollo"
141.04,1100.7,64.6,131,-1.93,1,"Apollo"
142.27,1055.9,65.4,5,-2.08,1,"Apollo"
144.43,1162.6,62.9,6,-1.35,1,"Apollo"
144.79,1070.9,64.3,29,-1.47,1,"Apollo"
146.51,1175.8,62.8,114,-1.44,1,"Apollo"
147.19,1161.3,64,64,-1.29,1,"Apollo"
148.57,1235.4,60,91,4.08,1,"Apollo"
149.16,868,63.9,-14,-2.19,1,"Apollo"
150.86,813.6,61,163,0.76,1,"Apollo"
151.09,873.2,60.9,55,2.33,1,"Apollo"
152.72,908.5,64,16,-2,1,"Apollo"
153.17,935.2,64.1,126,-2.21,1,"Apollo"
154,977.7,64.4,55,-1.82,1,"Apollo"
154.86,963.3,63.1,49,-0.63,1,"Apollo"
156.79,1011.4,61,81,0.87,1,"Apollo"
157.04,1038.3,62.5,154,-0.44,1,"Apollo"
179.22,780.1,62.1,270,-2.34,1,"Apollo"
190.56,95.6,50.6,518,13.7,1,"Apollo"
195.1,464.3,46.2,430,14.64,1,"Apollo"
196.7,810.8,55.3,441,13.65,1,"Apollo"
202.66,743.8,43.9,447,14.76,1,"Apollo"
214.68,1142.7,53.4,466,3.56,1,"Apollo"
225.34,1157.9,55.6,272,9.36,1,"Apollo"
269.08,815,38,516,31.99,1,"Apollo"
274.68,352.8,53.1,378,13.79,1,"Apollo"
278.6,100.8,43.8,395,19.71,1,"Apollo"
281.13,762.5,61.6,533,3.51,1,"Apollo"
321.02,954.7,52.6,300,9.36,1,"Apollo"
330.2,1064.6,38,584,23.23,1,"Apollo"
331.26,732.3,38.6,630,20.67,1,"Apollo"
338.35,434,73.6,47,-0.93,1,"Apollo"
341.77,897.7,66.4,368,2.35,1,"Apollo"
343.8,1245,51,401,8.7,1,"Apollo"
346.28,1247.5,56.1,875,1.18,1,"Apollo"
349.07,1168.3,37.8,623,22.25,1,"Apollo"
350.58,963,37.8,496,22.42,1,"Apollo"
352.74,670.2,71,317,-10.9,1,"Apollo"
355,926.9,38.3,735,21.8,1,"Apollo"
361.44,1228.1,71.1,729,-4.93,1,"Apollo"
363.77,1353.3,63,1073,26.46,1,"Apollo"
385.43,646.8,62,762,-8.79,1,"Apollo"
388.51,879.2,58.8,801,9.73,1,"Apollo"
413.12,682.6,73,663,-9.9,1,"Apollo"
414.54,475.8,72,636,-8.34,1,"Apollo"
415.17,512.9,68.1,683,-6.92,1,"Apollo"
416.82,605.1,62.6,740,-1.62,1,"Apollo"
417,604.2,66.5,821,-3.68,1,"Apollo"
418.1,657.3,63.4,1057,1.13,1,"Apollo"
418.93,698.8,67.2,954,-8.57,1,"Apollo"
420.68,822.9,63.1,865,-3.66,1,"Apollo"
421.14,814.9,60.5,932,0.99,1,"Apollo"
422.55,902.6,56.9,817,2.39,1,"Apollo"
423.37,880.1,58.4,1139,3.27,1,"Apollo"
428.55,1073.9,59.9,735,-5.3,1,"Apollo"
434.77,1085.8,51.2,1249,18.66,1,"Apollo"
443.31,547.4,61.4,785,-0.89,1,"Apollo"
446.73,1230.1,69,862,8.92,1,"Apollo"
447.47,1239.6,75.4,621,-10.95,1,"Apollo"
447.89,1304.7,69.4,460,0.03,1,"Apollo"
449.01,1330.5,68.1,428,-6.27,1,"Apollo"
450.54,1517.9,71.2,380,-4.96,1,"Apollo"
452.14,1441.2,58.9,604,7.21,1,"Apollo"
453.35,1418.8,64.8,605,6.11,1,"Apollo"
454.47,1344.1,74.6,303,-7.28,1,"Apollo"
454.87,1476,77,407,-8.48,1,"Apollo"
456.55,1567.8,37.2,816,23.78,1,"Apollo"
474.63,468.8,53.9,796,10.14,1,"Apollo"
487.09,575.5,55.3,848,12.82,1,"Apollo"
495.04,677.4,77.5,663,14.98,1,"Apollo"
496.13,1008.4,72.3,284,-7.28,1,"Apollo"
497.2,1153.8,70,378,-6.12,1,"Apollo"
498.66,1265.6,53.5,873,21.86,1,"Apollo"
500.72,1298.9,58.3,695,3.8,1,"Apollo"
506.29,307.6,77.7,384,10.44,1,"Apollo"
533.26,498.4,79.2,293,-15.79,1,"Apollo"
536.56,448.4,82.4,733,-15.91,1,"Apollo"
545.19,1227.8,38.1,1189,28.21,1,"Apollo"
546.55,485.9,64.2,798,-0.03,1,"Apollo"
547.16,523.4,67.5,715,-1.64,1,"Apollo"
548.81,583.4,62.6,792,0.92,1,"Apollo"
549.17,625.9,59.4,953,4.34,1,"Apollo"
564.9,776.4,57.5,777,7.12,1,"Apollo"
572.79,248.1,38.2,948,-5.95,1,"Apollo"
581.03,583,56.8,924,15.08,1,"Apollo"
583.21,679.2,55.3,922,7.71,1,"Apollo"
593.3,648.3,58.9,871,3.96,1,"Apollo"
602.53,658.1,57.9,967,2.67,1,"Apollo"
603.28,674.2,55.4,1200,9.07,1,"Apollo"
606.81,679.6,49,1224,2.85,1,"Apollo"
609.05,695.9,62.1,793,0.98,1,"Apollo"
610.73,549.6,61.6,781,-0.85,1,"Apollo"
611.01,555.7,58.9,803,1.6,1,"Apollo"
